관리번호,급경사지명,시행청명,관리주체구분,시도,시군구,상세주소,도로명상세주소,산주소여부,주지번,부지번,,,,
1130500031,북한20-00-01,북한산국립공원사무소,국립공원관리공단,서울특별시,강북구,도선사~용암문방면,,Y,68,1,,,,
1132000032,북한 24-01-01,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,무수골 상단,,Y,29,89,,,,
1132000034,북한 24-03-02,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,원통사,,Y,29,3,,,,
1132000035,북한 24-03-03,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,원통사 하단,,Y,29,3,,,,
1132000036,북한 26-00-01,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,구봉사 하단,,N,515,2,,,,
1132000037,북한 26-03-01,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,거북바위 하단,,Y,31,,,37.70736,127.01469,
1132000038,북한 26-03-02,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,거북바위 상단,,Y,31,,,37.70736,127.01469,
1132000039,북한 31-01-01,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,신선대,,Y,31,,,37.70453,127.0145,폐업
1132000040,북한 33-06-01,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,418계단,,Y,31,,서울특별시 도봉구 방학3동 산56,,,
1132000041,북한 33-06-02,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,만월암하단,,Y,31,,,37.71228,127.02129,
1132000042,북한 34-01-01,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,Y계곡,,Y,31,,서울특별시 도봉구 도봉1동,,,
1132000043,북도 03-02-01,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,도봉대피소 하단,,Y,37,,서울특별시 도봉구 도봉1동 411-1,,,
1132000044,북도 03-02-02,북한산국립공원 도봉사무소,국립공원관리공단,서울특별시,도봉구,도봉대피소 상단,,Y,39,,서울특별시 도봉구 도봉1동 411-1,,,
