,관리기관명,lat,lon
0,종로구,37.58219049411062,126.98314925371068
1,종로구,37.58243466173129,126.98313787725795
2,종로구,37.58290773954245,126.98353628705537
3,종로구,37.58347539703678,126.98376485790868
4,종로구,37.5852253309258,126.98533142085967
5,종로구,37.58323867999781,126.98564994598406
6,종로구,37.5831901162626,126.98640963025186
7,종로구,37.583052324087106,126.9869395021257
8,종로구,37.58312716060374,126.98743763613868
9,종로구,37.58311642232083,126.98814976174481
10,종로구,37.5829741496589,126.98902153991504
11,종로구,37.57940070503732,126.98795902643475
12,종로구,37.57941599838697,126.98773034052438
13,종로구,37.57921575900335,126.98578090882035
14,종로구,37.58096366234388,126.98557679486304
15,종로구,37.58196289200794,126.98580529333367
16,종로구,37.58268007533428,126.9857428891527
17,종로구,37.58284776231296,126.98661574346573
18,종로구,37.582258601707814,126.98742646069046
19,종로구,37.5803467931649,126.98840379344914
20,종로구,37.57999272144252,126.98859743832007
21,종로구,37.580785592381716,126.98855995754035
22,종로구,37.581325310200064,126.98879535699595
23,종로구,37.58151178614516,126.98848625810314
24,종로구,37.58220647450125,126.98871710737973
25,종로구,37.58231994592504,126.98816800223514
26,종로구,37.58268040021447,126.98874986808164
27,종로구,37.58018971834989,126.98565619172108
28,종로구,37.582614321308085,126.9858968733715
29,종로구,37.577396520223424,126.98472730160266
30,종로구,37.58018952274599,126.98412784598088
31,종로구,37.58248930654768,126.98790984687086
32,종로구,37.58168302426472,126.98900361541796
33,종로구,37.58128915068386,126.98759757454799
34,종로구,37.576127794119266,127.0070911392661
35,종로구,37.57478978262428,127.00764457322252
36,종로구,37.574438375263256,127.00793886274064
37,종로구,37.57347430638861,127.00800441676735
38,종로구,37.57624214032518,127.00831829038793
39,종로구,37.57345264409117,127.00855230535339
40,종로구,37.57408882501258,127.00738866603692
41,종로구,37.57484114703013,127.00752458360913
42,종로구,37.57639901251909,127.00676626646217
43,종로구,37.574744079397135,126.99994113467129
44,종로구,37.57529165828218,127.00730275030713
45,종로구,37.57686566092539,127.0078440275859
46,종로구,37.57643769827586,127.0076968160394
47,종로구,37.57516100693524,127.00741707276654
48,종로구,37.57447988167363,127.00697891287173
49,종로구,37.575680844195084,127.00797861603226
50,종로구,37.574814346083954,127.00160521374177
51,종로구,37.57579537401644,127.00626245339154
52,종로구,37.57468342066948,127.00830453271006
53,종로구,37.575655646444304,127.00752013740747
54,종로구,37.574287871187224,127.00848447974992
55,종로구,37.57485320996409,127.01998594019095
56,종로구,37.57535606852334,127.01936458747811
57,종로구,37.57546155520943,127.01893104485372
58,종로구,37.57561822526789,127.01956276214814
59,종로구,37.57588046584226,127.01925151899803
60,종로구,37.57603368107766,127.01896628308751
61,종로구,37.57632467615682,127.01912823996601
62,종로구,37.57629130561415,127.01933539638925
63,종로구,37.57695355015596,127.01925179526192
64,종로구,37.57661018163925,127.01979396062357
65,종로구,37.57715625089444,127.01939222314303
66,종로구,37.577053487506625,127.01969445664538
67,종로구,37.57780944799961,127.01953616567927
68,종로구,37.57817151831993,127.02030267669149
69,종로구,37.578097799118595,127.01933586350997
70,종로구,37.57823085649288,127.02103061916213
71,종로구,37.57807576670408,127.02168717960458
72,종로구,37.57730385059219,127.02036244051384
73,종로구,37.57735422569514,127.0208243367708
74,종로구,37.57692273352763,127.020341959679
75,종로구,37.5769965677319,127.02061480613591
76,종로구,37.576836140784174,127.02089890826711
77,종로구,37.57663608702968,127.02108450924075
78,종로구,37.5766272011411,127.0203781050141
79,종로구,37.57621272864738,127.02046515974358
80,종로구,37.57479628477665,127.01500274507701
81,종로구,37.57569380488923,127.01394673189338
82,종로구,37.574688312344435,127.01379824913613
83,종로구,37.57470726480517,127.01352543461118
84,종로구,37.5751352567205,127.01335457526797
85,종로구,37.574813643305134,127.0129809490575
86,종로구,37.57453164916741,127.01282354900509
87,종로구,37.57400914811097,127.01210463025313
88,종로구,37.57371180252694,127.01227211959376
89,종로구,37.57379916890489,127.01255853277466
90,종로구,37.57400636960109,127.01282006289082
91,종로구,37.57364325746059,127.0129230134531
92,종로구,37.57062952725316,127.01199088695138
93,종로구,37.57345229513095,127.0124713100644
94,종로구,37.57330084948579,127.01319350316975
95,종로구,37.57341073501245,127.01351048405648
96,종로구,37.57352511628524,127.01389878315271
97,종로구,37.571019738174606,127.01117593170396
98,종로구,37.57078811864112,127.01183017325152
99,종로구,37.57072045111865,127.01272328265308
100,종로구,37.5712160778076,127.01196494562804
101,종로구,37.57394593588548,127.01342341570691
102,종로구,37.576496367451384,127.0058787464428
103,종로구,37.57695133527993,127.00653198023345
104,종로구,37.57723785725465,127.00642672337493
105,종로구,37.57665490123937,127.00665534827738
106,종로구,37.57688101043945,127.00733686725715
107,종로구,37.57695668993701,127.0074014020481
108,종로구,37.5772999763755,127.0072791730885
109,종로구,37.57697828061055,127.00791309502124
110,종로구,37.57822981180759,127.00712530095484
111,종로구,37.578846990508865,127.00716271866051
112,종로구,37.58032916243984,127.00652661476936
113,종로구,37.58064543139034,127.00615191234685
114,종로구,37.580501304354634,127.00550433201612
115,종로구,37.58114550290496,127.00575571063005
116,종로구,37.58151405510339,127.00472437035039
117,종로구,37.582044712544466,127.00537424999528
118,종로구,37.58271418432695,127.00457726717954
119,종로구,37.58308716897462,127.00521922012628
120,종로구,37.58311418155931,127.00559509656884
121,종로구,37.58324481179053,127.00587927706387
122,종로구,37.58306638069091,127.00653364663063
123,종로구,37.582933097441256,127.00525657030494
124,종로구,37.58333675374745,127.00499733504307
125,종로구,37.58415844873947,127.00524873128734
