"공간정보관리번호","X 좌표 최소값","Y 좌표 최소값","X 좌표 최대값","Y 좌표 최대값","제설함번호","관리기관명","위치상세정보","비고"
"61","201675.4","552943.1","201675.4","552943.1","숭인2동-006","종로구","숭인동1길  57","숭인동1길"
"62","201689.7","552975.4","201689.7","552975.4","숭인2동-007","종로구","종로63나길 4","종로63나길"
"63","201708.0","552971.7","201708.0","552971.7","숭인2동-008","종로구","숭인동1길  46","숭인동1길"
"64","201700.6","553045.2","201700.6","553045.2","숭인2동-009","종로구","종로63가길 64-6","종로63가길"
"65","201748.5","553007.1","201748.5","553007.1","숭인2동-010","종로구","숭인동1길  37","숭인동1길"
"66","201713.0","553067.7","201713.0","553067.7","숭인2동-011","종로구","숭인동1다길 14","숭인동1다길"
"67","201739.7","553056.3","201739.7","553056.3","숭인2동-012","종로구","숭인동1다길 9","숭인동1다길"
"68","201725.7","553140.2","201725.7","553140.2","숭인2동-013","종로구","숭인동2길 46","숭인동2길"
"69","201793.4","553180.4","201793.4","553180.4","숭인2동-014","종로구","숭인동2길 28","숭인동2길"
"70","201708.0","553172.2","201708.0","553172.2","숭인2동-015","종로구","보문로9길 69","보문로9길"
"71","201857.7","553187.0","201857.7","553187.0","숭인2동-016","종로구","숭인동2길 16","숭인동2길"
"72","201915.7","553169.8","201915.7","553169.8","숭인2동-017","종로구","숭인동2길 5","숭인동2길"
"73","201798.7","553084.1","201798.7","553084.1","숭인2동-018","종로구","숭인동1나길 15","숭인동1나길"
"74","201839.5","553089.7","201839.5","553089.7","숭인2동-019","종로구","숭인동1가길 15-4","숭인동1가길"
"75","201796.9","553041.8","201796.9","553041.8","숭인2동-020","종로구","숭인동1나길 8","숭인동1나길"
"76","201821.0","553050.0","201821.0","553050.0","숭인2동-021","종로구","숭인동1가길 1-11","숭인동1가길"
"77","201846.1","553032.2","201846.1","553032.2","숭인2동-022","종로구","숭인동1가길 1-1","숭인동1가길"
"78","201862.5","553010.0","201862.5","553010.0","숭인2동-023","종로구","숭인동1길  15","숭인동1길"
"79","201800.1","553009.0","201800.1","553009.0","숭인2동-024","종로구","숭인동1길  27","숭인동1길"
"80","201807.8","552963.0","201807.8","552963.0","숭인2동-025","종로구","종로65길 36-14","종로65길"
"81","201325.3","552805.7","201325.3","552805.7","창신1동-01","종로구","지봉로5길 20","지봉로5길 20"
"82","201232.0","552905.3","201232.0","552905.3","창신1동-02","종로구","지봉로5길 43","지봉로5길 43"
"83","201218.9","552793.7","201218.9","552793.7","창신1동-03","종로구","창신5길 77","창신5길 77"
"84","201194.8","552795.8","201194.8","552795.8","창신1동-04","종로구","창신5길 56-8","창신5길 56-8"
"85","201179.7","552843.3","201179.7","552843.3","창신1동-05","종로구","창신5길 61 61","창신5길 61"
"86","201146.7","552807.6","201146.7","552807.6","창신1동-06","종로구","창신5다길 26-14","창신5다길 26-14"
