기준일ID,시간대구분,행정동코드,총생활인구수
20210101,10,11380650,11545.2959
20210101,10,11380690,66815.5309
20210101,11,11380510,36648.092
20210101,11,11380520,36846.3389
20210101,11,11380530,23646.1064
20210101,11,11380551,25592.8494
20210101,11,11380552,25037.4178
20210101,11,11380560,29548.0631
20210101,11,11380570,33222.8038
20210101,11,11380580,27476.5945
20210101,11,11380590,19892.3601
20210101,11,11380600,23691.3214
20210101,11,11380625,46851.4526
20210101,11,11380631,27449.7215
20210101,11,11380632,17733.39
20210101,11,11380640,13623.7268
20210101,11,11380650,11491.951
20210101,11,11380690,67113.2029
20210101,12,11380510,36315.5047
20210101,12,11380520,36790.3566
20210101,12,11380530,23290.4464
20210101,12,11380551,25366.6373
20210101,12,11380552,24791.5582
20210101,12,11380560,29278.4274
20210101,12,11380570,33586.4307
20210101,12,11380580,27315.0208
20210101,12,11380590,19510.7653
20210101,12,11380600,23625.8687
20210101,12,11380625,46722.3364
20210101,12,11380631,27293.3926
20210101,12,11380632,17540.4227
20210101,12,11380640,13690.1889
20210101,12,11380650,11321.5143
20210101,12,11380690,67057.7005
20210101,13,11380510,35154.0816
20210101,13,11380520,36679.3272
20210101,13,11380530,23147.9358
20210101,13,11380551,25153.9408
20210101,13,11380552,24560.461
20210101,13,11380560,28684.7061
20210101,13,11380570,33941.6837
20210101,13,11380580,27040.0218
20210101,13,11380590,19182.3092
20210101,13,11380600,23859.8733
20210101,13,11380625,46130.6633
20210101,13,11380631,26854.6605
20210101,13,11380632,17037.9815
20210101,13,11380640,13517.2919
20210101,13,11380650,10969.1749
20210101,13,11380690,67375.9037
20210101,14,11380510,35053.9261
20210101,14,11380520,36610.8002
20210101,14,11380530,22496.8112
20210101,14,11380551,25340.7699
20210101,14,11380552,24532.618
20210101,14,11380560,28125.7722
20210101,14,11380570,33954.2698
20210101,14,11380580,27052.1674
20210101,14,11380590,18535.3882
20210101,14,11380600,23386.3213
20210101,14,11380625,45874.9586
20210101,14,11380631,26315.0138
20210101,14,11380632,16942.5649
20210101,14,11380640,13632.0528
20210101,14,11380650,11139.7978
20210101,14,11380690,67152.3576
