,num,x_min,y_min,x_max,y_max,제설함번호,lon,lat
58,59,201728.1,552897.0,201728.1,552897.0,숭인2동-004,127.01956276214814,37.57561822526789
59,60,201700.6,552926.1,201700.6,552926.1,숭인2동-005,127.01925151899803,37.57588046584226
60,61,201675.4,552943.1,201675.4,552943.1,숭인2동-006,127.01896628308751,37.57603368107766
61,62,201689.7,552975.4,201689.7,552975.4,숭인2동-007,127.01912823996601,37.57632467615682
62,63,201708.0,552971.7,201708.0,552971.7,숭인2동-008,127.01933539638925,37.57629130561415
63,64,201700.6,553045.2,201700.6,553045.2,숭인2동-009,127.01925179526192,37.57695355015596
64,65,201748.5,553007.1,201748.5,553007.1,숭인2동-010,127.01979396062357,37.57661018163925
65,66,201713.0,553067.7,201713.0,553067.7,숭인2동-011,127.01939222314303,37.57715625089444
66,67,201739.7,553056.3,201739.7,553056.3,숭인2동-012,127.01969445664538,37.577053487506625
67,68,201725.7,553140.2,201725.7,553140.2,숭인2동-013,127.01953616567927,37.57780944799961
68,69,201793.4,553180.4,201793.4,553180.4,숭인2동-014,127.02030267669149,37.57817151831993
69,70,201708.0,553172.2,201708.0,553172.2,숭인2동-015,127.01933586350997,37.578097799118595
70,71,201857.7,553187.0,201857.7,553187.0,숭인2동-016,127.02103061916213,37.57823085649288
71,72,201915.7,553169.8,201915.7,553169.8,숭인2동-017,127.02168717960458,37.57807576670408
72,73,201798.7,553084.1,201798.7,553084.1,숭인2동-018,127.02036244051384,37.57730385059219
73,74,201839.5,553089.7,201839.5,553089.7,숭인2동-019,127.0208243367708,37.57735422569514
74,75,201796.9,553041.8,201796.9,553041.8,숭인2동-020,127.020341959679,37.57692273352763
75,76,201821.0,553050.0,201821.0,553050.0,숭인2동-021,127.02061480613591,37.5769965677319
76,77,201846.1,553032.2,201846.1,553032.2,숭인2동-022,127.02089890826711,37.576836140784174
77,78,201862.5,553010.0,201862.5,553010.0,숭인2동-023,127.02108450924075,37.57663608702968
78,79,201800.1,553009.0,201800.1,553009.0,숭인2동-024,127.0203781050141,37.5766272011411
79,80,201807.8,552963.0,201807.8,552963.0,숭인2동-025,127.02046515974358,37.57621272864738
80,81,201325.3,552805.7,201325.3,552805.7,창신1동-01,127.01500274507701,37.57479628477665
81,82,201232.0,552905.3,201232.0,552905.3,창신1동-02,127.01394673189338,37.57569380488923
82,83,201218.9,552793.7,201218.9,552793.7,창신1동-03,127.01379824913613,37.574688312344435
83,84,201194.8,552795.8,201194.8,552795.8,창신1동-04,127.01352543461118,37.57470726480517
84,85,201179.7,552843.3,201179.7,552843.3,창신1동-05,127.01335457526797,37.5751352567205
85,86,201146.7,552807.6,201146.7,552807.6,창신1동-06,127.0129809490575,37.574813643305134
86,87,201132.8,552776.3,201132.8,552776.3,창신1동-07,127.01282354900509,37.57453164916741
87,88,201069.3,552718.3,201069.3,552718.3,창신1동-08,127.01210463025313,37.57400914811097
88,89,201084.1,552685.3,201084.1,552685.3,창신1동-09,127.01227211959376,37.57371180252694
89,90,201109.4,552695.0,201109.4,552695.0,창신1동-10,127.01255853277466,37.57379916890489
90,91,201132.5,552718.0,201132.5,552718.0,창신1동-11,127.01282006289082,37.57400636960109
91,92,201141.6,552677.7,201141.6,552677.7,창신1동-12,127.0129230134531,37.57364325746059
92,93,201059.3,552343.2,201059.3,552343.2,창신1동-13,127.01199088695138,37.57062952725316
93,94,201101.7,552656.5,201101.7,552656.5,창신1동-14,127.0124713100644,37.57345229513095
94,95,201165.5,552639.7,201165.5,552639.7,창신1동-15,127.01319350316975,37.57330084948579
95,96,201193.5,552651.9,201193.5,552651.9,창신1동-16,127.01351048405648,37.57341073501245
96,97,201227.8,552664.6,201227.8,552664.6,창신1동-17,127.01389878315271,37.57352511628524
97,98,200987.3,552386.5,200987.3,552386.5,창신1동-18,127.01117593170396,37.571019738174606
98,99,201045.1,552360.8,201045.1,552360.8,창신1동-19,127.01183017325152,37.57078811864112
99,100,201124.0,552353.3,201124.0,552353.3,창신1동-20,127.01272328265308,37.57072045111865
100,101,201057.0,552408.3,201057.0,552408.3,창신1동-21,127.01196494562804,37.5712160778076
101,102,201185.8,552711.3,201185.8,552711.3,창신1동-22,127.01342341570691,37.57394593588548
102,103,200519.3,552994.3,200519.3,552994.3,이화동-001,127.0058787464428,37.576496367451384
103,104,200577.0,553044.8,200577.0,553044.8,이화동-002,127.00653198023345,37.57695133527993
104,105,200567.7,553076.6,200567.7,553076.6,이화동-003,127.00642672337493,37.57723785725465
105,106,200587.9,553011.9,200587.9,553011.9,이화동-004,127.00665534827738,37.57665490123937
106,107,200648.1,553037.0,200648.1,553037.0,이화동-005,127.00733686725715,37.57688101043945
107,108,200653.8,553045.4,200653.8,553045.4,이화동-006,127.0074014020481,37.57695668993701
108,109,200643.0,553083.5,200643.0,553083.5,이화동-007,127.0072791730885,37.5772999763755
109,110,200699.0,553047.8,200699.0,553047.8,이화동-008,127.00791309502124,37.57697828061055
110,111,200629.4,553186.7,200629.4,553186.7,이화동-009,127.00712530095484,37.57822981180759
111,112,200632.7,553255.2,200632.7,553255.2,이화동-010,127.00716271866051,37.578846990508865
112,113,200576.5,553419.7,200576.5,553419.7,이화동-011,127.00652661476936,37.58032916243984
113,114,200543.4,553454.8,200543.4,553454.8,이화동-012,127.00615191234685,37.58064543139034
114,115,200486.2,553438.8,200486.2,553438.8,이화동-013,127.00550433201612,37.580501304354634
115,116,200508.4,553510.3,200508.4,553510.3,이화동-014,127.00575571063005,37.58114550290496
116,117,200417.3,553551.2,200417.3,553551.2,이화동-015,127.00472437035039,37.58151405510339
117,118,200474.7,553610.1,200474.7,553610.1,이화동-016,127.00537424999528,37.582044712544466
118,119,200404.3,553684.4,200404.3,553684.4,이화동-017,127.00457726717954,37.58271418432695
119,120,200461.0,553725.8,200461.0,553725.8,이화동-018,127.00521922012628,37.58308716897462
120,121,200494.2,553728.8,200494.2,553728.8,이화동-019,127.00559509656884,37.58311418155931
121,122,200519.3,553743.3,200519.3,553743.3,이화동-020,127.00587927706387,37.58324481179053
122,123,200577.1,553723.5,200577.1,553723.5,이화동-021,127.00653364663063,37.58306638069091
123,124,200464.3,553708.7,200464.3,553708.7,이화동-022,127.00525657030494,37.582933097441256
124,125,200441.4,553753.5,200441.4,553753.5,이화동-023,127.00499733504307,37.58333675374745
125,126,200463.6,553844.7,200463.6,553844.7,이화동-024,127.00524873128734,37.58415844873947
126,127,200547.2,553750.0,200547.2,553750.0,이화동-025,127.00619515310272,37.58330516219211
127,128,200509.9,553825.4,200509.9,553825.4,이화동-026,127.00577291168472,37.58398453256784
128,129,200511.4,553838.1,200511.4,553838.1,이화동-027,127.00578990302868,37.58409895788081
129,130,200526.1,553767.7,200526.1,553767.7,이화동-028,127.00595628106836,37.5834646503134
130,131,200487.3,553874.4,200487.3,553874.4,이화동-029,127.00551707487308,37.584426031492086
131,132,200482.9,553897.7,200482.9,553897.7,이화동-030,127.00546727465196,37.58463596522344
132,133,200471.1,553917.4,200471.1,553917.4,이화동-031,127.0053336906279,37.584813466988486
133,134,200478.8,553949.0,200478.8,553949.0,이화동-032,127.00542088898062,37.58509817684507
134,135,200498.7,553947.6,200498.7,553947.6,이화동-033,127.00564619230995,37.58508555237971
135,136,200457.0,553874.4,200457.0,553874.4,이화동-034,127.00517402671382,37.584426047027186
136,137,200446.7,553863.3,200446.7,553863.3,이화동-035,127.00505740621725,37.5843260418341
137,138,200413.6,553836.9,200413.6,553836.9,이화동-036,127.00468264283977,37.58408819507925
138,139,200365.1,553780.5,200365.1,553780.5,이화동-037,127.00413351373417,37.583580055363626
139,140,200458.9,553388.7,200458.9,553388.7,이화동-038,127.00519523388111,37.58004992044623
140,141,200495.3,553371.5,200495.3,553371.5,이화동-039,127.00560730879745,37.57989493064207
141,142,200558.6,553316.0,200558.6,553316.0,이화동-040,127.00632388803639,37.57939484279129
142,143,200506.6,553290.2,200506.6,553290.2,이화동-041,127.00573518030946,37.57916241640958
143,144,200600.9,553120.6,200600.9,553120.6,이화동-042,127.00680260445446,37.57763427367578
144,145,200531.1,553118.7,200531.1,553118.7,이화동-043,127.00601241870727,37.57761719767518
145,146,200094.1,553298.3,200094.1,553298.3,이화동-044,127.00106530002977,37.579235531436396
146,147,200048.7,553239.6,200048.7,553239.6,이화동-045,127.00055132565878,37.57870665145068
147,148,200067.0,553276.0,200067.0,553276.0,이화동-046,127.00075850063978,37.579034612139694
148,149,200029.2,552961.2,200029.2,552961.2,이화동-047,127.00033055788936,37.57619828420388
149,150,200737.3,553350.6,200737.3,553350.6,이화동-048,127.00834697830233,37.57970646098466
150,151,200709.7,553317.7,200709.7,553317.7,이화동-049,127.0080344866651,37.57941005565626
151,152,200699.2,553227.4,200699.2,553227.4,이화동-050,127.00791553043602,37.57859646607549
152,153,200720.7,553190.5,200720.7,553190.5,이화동-051,127.00815889218913,37.57826398267361
153,154,200735.9,553140.3,200735.9,553140.3,이화동-052,127.00833091777824,37.57781167157709
154,155,200758.1,553058.7,200758.1,553058.7,이화동-053,127.00858215337577,37.577076442249314
155,156,200715.9,553063.7,200715.9,553063.7,이화동-054,127.00810442858013,37.5771215257297
156,157,196130.7,552995.4,196130.7,552995.4,무악-01,126.9561975088867,37.57649829828712
157,158,196188.0,552996.1,196188.0,552996.1,무악-02,126.95684617091875,37.57650484415223
158,159,196231.9,552928.9,196231.9,552928.9,무악-03,126.95734348707863,37.575899556661454
159,160,196337.5,552935.8,196337.5,552935.8,무악-04,126.95853888974476,37.575962151174686
160,161,196473.2,553096.3,196473.2,553096.3,무악-05,126.96007430096141,37.57740877636428
161,162,196458.7,553174.1,196458.7,553174.1,무악-06,126.95990977562606,37.578109694072694
162,163,196369.1,553140.1,196369.1,553140.1,무악-07,126.95889560373432,37.57780300728577
163,164,196468.6,552985.8,196468.6,552985.8,무악-08,126.9600227582106,37.57641316021396
164,165,196528.3,552963.0,196528.3,552963.0,무악-09,126.960698700354,37.5762079604618
165,166,196625.2,553102.0,196625.2,553102.0,무악-10,126.96179501448312,37.57746070246319
166,167,196543.9,553064.4,196543.9,553064.4,무악-11,126.96087482174275,37.57712162723034
167,168,196521.8,552980.1,196521.8,552980.1,무악-12,126.96062503614445,37.57636200595725
168,169,196678.1,553049.2,196678.1,553049.2,무악-13,126.96239411687296,37.57698516986383
169,170,196643.7,552988.9,196643.7,552988.9,무악-14,126.96200496455191,37.576441745666436
170,171,196499.4,552680.8,196499.4,552680.8,무악-15,126.9603728859852,37.57366524475892
171,172,196343.4,552778.6,196343.4,552778.6,무악-16,126.95860646432119,37.57454581144961
172,173,196395.6,552960.3,196395.6,552960.3,무악-17,126.95919648668631,37.576183123936836
173,174,196491.6,552972.7,196491.6,552972.7,무악-18,126.96028319252471,37.576295217856845
174,175,196323.3,552801.1,196323.3,552801.1,무악-19,126.95837881502143,37.574748455202894
175,176,201323.8,553018.0,201323.8,553018.0,창신3-001,127.01498614800849,37.576709098273334
176,177,201240.9,553037.1,201240.9,553037.1,창신3-002,127.01404770652354,37.576881303601525
177,178,201223.6,553034.7,201223.6,553034.7,창신3-003,127.0138518565059,37.57685970288028
178,179,201201.7,553044.1,201201.7,553044.1,창신3-004,127.01360395131104,37.57694442517852
179,180,201267.2,553219.8,201267.2,553219.8,창신3-005,127.01434575355051,37.57852738422122
180,181,201249.1,553201.1,201249.1,553201.1,창신3-006,127.01414081470165,37.578358923048135
181,182,201200.6,553141.4,201200.6,553141.4,창신3-007,127.01359165801027,37.57782109403157
182,183,201154.0,553135.8,201154.0,553135.8,창신3-008,127.0130641035946,37.57777069791714
183,184,201157.7,553120.0,201157.7,553120.0,창신3-009,127.01310596528307,37.57762833618792
184,185,201208.9,553098.3,201208.9,553098.3,창신3-010,127.01368554892186,37.5774327546643
185,186,201180.4,553095.8,201180.4,553095.8,창신3-011,127.01336290602283,37.577410266770876
186,187,201166.4,553096.6,201166.4,553096.6,창신3-012,127.0132044180719,37.57741749255925
187,188,201156.5,553079.1,201156.5,553079.1,창신3-013,127.01309231593183,37.57725983104455
188,189,201148.6,553070.0,201148.6,553070.0,창신3-014,127.01300286864951,37.577177850448834
189,190,201146.0,552990.0,201146.0,552990.0,창신3-015,127.0129733099752,37.57645705820518
190,191,201129.9,552937.1,201129.9,552937.1,창신3-016,127.01279096816386,37.57598045203303
191,192,201126.1,552900.9,201126.1,552900.9,창신3-017,127.01274789488168,37.57565429667493
192,193,201065.0,552928.5,201065.0,552928.5,창신3-018,127.01205625895798,37.575903043826415
193,194,201110.7,553005.1,201110.7,553005.1,창신3-019,127.01257371868759,37.57659315159937
194,195,201118.3,553087.9,201118.3,553087.9,창신3-020,127.01265988105695,37.57733916571012
195,196,201088.8,553057.2,201088.8,553057.2,창신3-021,127.01232587634301,37.577062595803504
196,197,201051.2,553147.0,201051.2,553147.0,창신3-022,127.01190035031165,37.577871732322635
197,198,201020.9,553278.9,201020.9,553278.9,창신3-023,127.01155751591843,37.579060177628236
198,199,200989.0,553509.6,200989.0,553509.6,창신3-024,127.01119669019727,37.581138805259656
199,200,201307.8,553344.9,201307.8,553344.9,창신3-025,127.01480560234903,37.57965447096142
200,201,201194.3,553353.2,201194.3,553353.2,창신3-026,127.01352068253226,37.57972940762157
201,202,201168.9,553371.0,201168.9,553371.0,창신3-027,127.01323315726367,37.579889817120005
202,203,201122.0,553358.0,201122.0,553358.0,창신3-028,127.01270218085787,37.57977274624098
203,204,201122.9,553330.6,201122.9,553330.6,창신3-029,127.01271232779966,37.579525872810045
204,205,201084.3,553297.0,201084.3,553297.0,창신3-030,127.0122752883024,37.57922318508847
205,206,201367.9,553446.6,201367.9,553446.6,숭인1동-001,127.01548618414635,37.58057069439828
206,207,201402.6,553343.9,201402.6,553343.9,숭인1동-002,127.01587883109393,37.579645321537015
207,208,201459.4,553330.6,201459.4,553330.6,숭인1동-003,127.01652183724875,37.57952540109841
208,209,201517.9,553417.7,201517.9,553417.7,숭인1동-004,127.01718429487605,37.58031007220068
209,210,201559.5,553352.1,201559.5,553352.1,숭인1동-005,127.01765511297366,37.57971895074094
210,211,201604.0,553298.1,201604.0,553298.1,숭인1동-006,127.01815877967431,37.57923233760069
