기준일ID,시간대구분,행정동코드,총생활인구수
20201201,10,11380650,12026.592
20201201,10,11380690,59128.3778
20201201,11,11380510,31907.3995
20201201,11,11380520,30648.4209
20201201,11,11380530,18771.0802
20201201,11,11380551,22060.1606
20201201,11,11380552,19964.0779
20201201,11,11380560,24143.7502
20201201,11,11380570,28999.6971
20201201,11,11380580,23490.1167
20201201,11,11380590,15214.9635
20201201,11,11380600,20775.5368
20201201,11,11380625,37499.7697
20201201,11,11380631,21504.3617
20201201,11,11380632,13191.2006
20201201,11,11380640,11738.3621
20201201,11,11380650,11833.3104
20201201,11,11380690,58786.902
20201201,12,11380510,31877.2599
20201201,12,11380520,30580.5444
20201201,12,11380530,18353.4253
20201201,12,11380551,21860.7815
20201201,12,11380552,19727.545
20201201,12,11380560,23970.7269
20201201,12,11380570,28836.9217
20201201,12,11380580,23060.7964
20201201,12,11380590,14918.1322
20201201,12,11380600,20802.0142
20201201,12,11380625,37275.4311
20201201,12,11380631,21171.9948
20201201,12,11380632,12799.7819
20201201,12,11380640,11389.4505
20201201,12,11380650,11950.9394
20201201,12,11380690,58457.548
20201201,13,11380510,31531.9242
20201201,13,11380520,30704.2243
20201201,13,11380530,18044.9592
20201201,13,11380551,21840.402
20201201,13,11380552,19673.9685
20201201,13,11380560,23563.5694
20201201,13,11380570,28692.5619
20201201,13,11380580,23026.9554
20201201,13,11380590,14808.7363
20201201,13,11380600,20463.7574
20201201,13,11380625,37175.2219
20201201,13,11380631,20669.0791
20201201,13,11380632,12611.7886
20201201,13,11380640,11306.746
20201201,13,11380650,11757.8883
20201201,13,11380690,58323.276
20201201,14,11380510,31518.0662
20201201,14,11380520,31068.7351
20201201,14,11380530,17802.0542
20201201,14,11380551,21648.3955
20201201,14,11380552,20008.4145
20201201,14,11380560,23044.0154
20201201,14,11380570,28850.1865
20201201,14,11380580,22936.7252
20201201,14,11380590,14657.0482
20201201,14,11380600,20547.3228
20201201,14,11380625,37435.8022
20201201,14,11380631,20355.186
20201201,14,11380632,12543.3525
20201201,14,11380640,11162.2357
20201201,14,11380650,11660.795
20201201,14,11380690,58464.9462
20201201,15,11380510,31677.6555
20201201,15,11380520,31556.456
20201201,15,11380530,17732.0678
20201201,15,11380551,21847.4867
20201201,15,11380552,20089.3621
20201201,15,11380560,23221.8201
20201201,15,11380570,29422.8256
20201201,15,11380580,23746.3412
20201201,15,11380590,14402.672
20201201,15,11380600,21232.7887
20201201,15,11380625,37852.8131
20201201,15,11380631,20245.8485
20201201,15,11380632,12503.5114
20201201,15,11380640,11100.6328
20201201,15,11380650,11501.3608
20201201,15,11380690,58150.6064
20201201,16,11380510,31943.5944
20201201,16,11380520,32356.5327
20201201,16,11380530,17692.5497
20201201,16,11380551,22904.4791
20201201,16,11380552,20373.9506
20201201,16,11380560,23685.5035
20201201,16,11380570,30001.7298
20201201,16,11380580,24043.9263
20201201,16,11380590,14174.1785
20201201,16,11380600,21572.681
20201201,16,11380625,38769.8747
20201201,16,11380631,21097.9067
20201201,16,11380632,12717.546
20201201,16,11380640,11571.776
20201201,16,11380650,11641.7591
20201201,16,11380690,57710.9659
20201201,17,11380510,32829.6944
20201201,17,11380520,33217.1821
20201201,17,11380530,18605.4995
20201201,17,11380551,23783.1558
20201201,17,11380552,21310.0807
20201201,17,11380560,23678.7973
20201201,17,11380570,31176.458
20201201,17,11380580,24599.7878
20201201,17,11380590,14594.0038
20201201,17,11380600,22212.7048
20201201,17,11380625,39938.2027
20201201,17,11380631,22104.5508
20201201,17,11380632,13104.8626
20201201,17,11380640,11694.8676
20201201,17,11380650,11904.0973
20201201,17,11380690,58571.8092
20201201,18,11380510,33243.1417
20201201,18,11380520,35113.5905
20201201,18,11380530,19604.3525
20201201,18,11380551,25515.3986
20201201,18,11380552,22814.9489
20201201,18,11380560,24382.7233
20201201,18,11380570,33689.2154
20201201,18,11380580,25911.2475
20201201,18,11380590,15396.6053
20201201,18,11380600,23872.9279
20201201,18,11380625,42220.4976
20201201,18,11380631,23625.6978
20201201,18,11380632,13873.3604
20201201,18,11380640,12411.3905
20201201,18,11380650,12796.9914
20201201,18,11380690,61385.3894
20201201,19,11380510,34385.0636
20201201,19,11380520,36946.7726
20201201,19,11380530,20909.4274
20201201,19,11380551,26532.9009
20201201,19,11380552,23993.5927
20201201,19,11380560,25416.2616
20201201,19,11380570,34754.4821
20201201,19,11380580,27397.1582
20201201,19,11380590,16405.4853
20201201,19,11380600,25066.0256
20201201,19,11380625,44436.5052
20201201,19,11380631,24773.5501
20201201,19,11380632,14831.911
20201201,19,11380640,12549.4401
20201201,19,11380650,12537.7945
20201201,19,11380690,63300.3914
20201201,20,11380510,35180.1975
20201201,20,11380520,37950.7173
20201201,20,11380530,21713.1967
20201201,20,11380551,27225.5968
20201201,20,11380552,24765.7013
20201201,20,11380560,26209.6018
20201201,20,11380570,35354.3379
20201201,20,11380580,27964.4053
20201201,20,11380590,17369.9988
20201201,20,11380600,25748.2305
20201201,20,11380625,46164.5528
20201201,20,11380631,25767.1505
20201201,20,11380632,15329.1406
20201201,20,11380640,12703.1648
20201201,20,11380650,12756.9025
20201201,20,11380690,64326.7466
20201201,21,11380510,36231.0975
20201201,21,11380520,38846.5997
20201201,21,11380530,22496.5239
20201201,21,11380551,27171.5978
20201201,21,11380552,25144.788
20201201,21,11380560,27000.8707
20201201,21,11380570,36210.2415
20201201,21,11380580,27882.9392
20201201,21,11380590,18226.1846
20201201,21,11380600,26581.5
20201201,21,11380625,47234.1455
20201201,21,11380631,26403.5083
20201201,21,11380632,15979.3387
20201201,21,11380640,13152.2652
20201201,21,11380650,12994.7551
20201201,21,11380690,65623.9129
20201201,22,11380510,36777.4749
20201201,22,11380520,39238.045
20201201,22,11380530,23078.2152
20201201,22,11380551,26995.2884
20201201,22,11380552,25822.098
20201201,22,11380560,27558.673
20201201,22,11380570,37438.1931
20201201,22,11380580,28596.5333
20201201,22,11380590,18610.661
20201201,22,11380600,27376.4367
20201201,22,11380625,47737.5227
20201201,22,11380631,26790.3761
20201201,22,11380632,16300.4212
20201201,22,11380640,13092.2205
20201201,22,11380650,13071.3029
20201201,22,11380690,65565.9484
20201201,23,11380510,39832.1488
20201201,23,11380520,38397.5919
20201201,23,11380530,25782.3026
20201201,23,11380551,24807.9646
20201201,23,11380552,28519.7901
20201201,23,11380560,29419.616
20201201,23,11380570,33718.4156
20201201,23,11380580,29667.7695
20201201,23,11380590,20987.4139
20201201,23,11380600,25797.545
20201201,23,11380625,49028.2203
20201201,23,11380631,26995.0737
20201201,23,11380632,18254.893
20201201,23,11380640,13388.9382
20201201,23,11380650,12226.6048
20201201,23,11380690,67094.2878
20201202,0,11380510,40007.1425
20201202,0,11380520,38345.5127
20201202,0,11380530,25820.2873
20201202,0,11380551,24415.2161
20201202,0,11380552,28909.8759
20201202,0,11380560,29514.13
20201202,0,11380570,33964.6549
20201202,0,11380580,29980.4148
20201202,0,11380590,21072.9813
20201202,0,11380600,25905.4766
20201202,0,11380625,49223.4456
20201202,0,11380631,26915.2315
20201202,0,11380632,18457.9826
20201202,0,11380640,13371.9523
20201202,0,11380650,12402.3613
20201202,0,11380690,67158.3998
20201202,1,11380510,40094.8101
20201202,1,11380520,38553.5973
20201202,1,11380530,25723.0492
20201202,1,11380551,24219.8264
20201202,1,11380552,29132.2205
20201202,1,11380560,29626.436
20201202,1,11380570,34118.2212
20201202,1,11380580,30316.1288
20201202,1,11380590,21154.8064
20201202,1,11380600,25967.1954
20201202,1,11380625,49268.875
20201202,1,11380631,26611.646
20201202,1,11380632,18420.9699
20201202,1,11380640,13479.6953
20201202,1,11380650,12497.6603
20201202,1,11380690,67106.5365
20201202,2,11380510,40045.625
20201202,2,11380520,38556.5411
20201202,2,11380530,25762.8036
20201202,2,11380551,24164.686
20201202,2,11380552,29124.3633
20201202,2,11380560,29717.1096
20201202,2,11380570,34317.0785
20201202,2,11380580,30347.3935
20201202,2,11380590,21066.6009
20201202,2,11380600,26008.8216
20201202,2,11380625,49219.9543
20201202,2,11380631,26595.5355
20201202,2,11380632,18466.8053
20201202,2,11380640,13522.2844
20201202,2,11380650,12557.418
20201202,2,11380690,67051.3801
20201202,3,11380510,40006.3132
20201202,3,11380520,36719.9093
20201202,3,11380530,26072.5845
20201202,3,11380551,24198.3769
20201202,3,11380552,29087.2922
20201202,3,11380560,29767.866
20201202,3,11380570,35689.065
20201202,3,11380580,30491.847
20201202,3,11380590,21088.0649
20201202,3,11380600,26148.1297
20201202,3,11380625,49238.2327
20201202,3,11380631,26598.1361
20201202,3,11380632,18455.1505
20201202,3,11380640,13487.2228
20201202,3,11380650,12619.0088
20201202,3,11380690,67132.508
20201202,4,11380510,40091.7274
20201202,4,11380520,36554.561
20201202,4,11380530,25786.9647
20201202,4,11380551,24173.0652
20201202,4,11380552,29094.8647
20201202,4,11380560,29647.2884
20201202,4,11380570,35556.0262
20201202,4,11380580,30378.1548
20201202,4,11380590,20952.231
20201202,4,11380600,25943.5514
20201202,4,11380625,48919.9288
20201202,4,11380631,26588.3301
20201202,4,11380632,18214.8026
20201202,4,11380640,13555.2436
20201202,4,11380650,12768.6383
20201202,4,11380690,66971.2001
20201202,5,11380510,39727.3458
20201202,5,11380520,36929.2897
20201202,5,11380530,25320.1215
20201202,5,11380551,24067.5276
20201202,5,11380552,28629.9571
20201202,5,11380560,29244.822
20201202,5,11380570,35000.5961
20201202,5,11380580,29914.7222
20201202,5,11380590,20725.404
20201202,5,11380600,25778.4246
20201202,5,11380625,48260.3964
20201202,5,11380631,26585.7238
20201202,5,11380632,17942.1656
20201202,5,11380640,13512.4243
20201202,5,11380650,13102.4526
20201202,5,11380690,67294.9126
20201202,6,11380510,38906.2064
20201202,6,11380520,36597.3911
20201202,6,11380530,24492.8737
20201202,6,11380551,24386.1907
20201202,6,11380552,27012.1857
20201202,6,11380560,28528.4686
20201202,6,11380570,33749.1787
20201202,6,11380580,29334.9817
20201202,6,11380590,20076.1102
20201202,6,11380600,25056.9321
20201202,6,11380625,46896.8412
20201202,6,11380631,25725.5064
20201202,6,11380632,17578.6207
20201202,6,11380640,13694.7838
20201202,6,11380650,13320.5466
20201202,6,11380690,67374.1149
20201202,7,11380510,36586.9309
20201202,7,11380520,35634.3621
20201202,7,11380530,23042.0352
20201202,7,11380551,25185.2327
20201202,7,11380552,24366.5528
20201202,7,11380560,27571.904
20201202,7,11380570,31777.656
20201202,7,11380580,27773.6857
20201202,7,11380590,18783.0304
20201202,7,11380600,23778.0221
20201202,7,11380625,44914.8853
20201202,7,11380631,25067.7557
20201202,7,11380632,16632.6711
20201202,7,11380640,13652.4856
20201202,7,11380650,14242.3946
20201202,7,11380690,67990.3187
20201202,8,11380510,34738.5533
20201202,8,11380520,33120.1427
20201202,8,11380530,20907.6333
20201202,8,11380551,24037.5154
20201202,8,11380552,21822.5467
20201202,8,11380560,26535.901
20201202,8,11380570,29487.566
20201202,8,11380580,25385.1098
20201202,8,11380590,17555.3184
20201202,8,11380600,22044.6982
20201202,8,11380625,41985.844
20201202,8,11380631,23161.1572
20201202,8,11380632,15515.3984
20201202,8,11380640,12711.196
20201202,8,11380650,13437.4816
20201202,8,11380690,62787.216
20201202,9,11380510,33297.2872
20201202,9,11380520,31611.1296
20201202,9,11380530,19735.3858
20201202,9,11380551,23000.0566
20201202,9,11380552,21086.0672
20201202,9,11380560,25328.06
20201202,9,11380570,28666.8139
20201202,9,11380580,24203.0687
20201202,9,11380590,16494.7585
20201202,9,11380600,21284.6214
20201202,9,11380625,39983.603
20201202,9,11380631,21796.7674
20201202,9,11380632,14270.5593
20201202,9,11380640,12097.5593
20201202,9,11380650,12493.6367
20201202,9,11380690,60565.9075
20201202,10,11380510,32259.1322
20201202,10,11380520,31077.8607
20201202,10,11380530,19501.6667
20201202,10,11380551,22353.5141
20201202,10,11380552,20180.6192
20201202,10,11380560,24498.653
20201202,10,11380570,28773.9291
20201202,10,11380580,23726.1033
20201202,10,11380590,15648.6802
20201202,10,11380600,21208.7334
20201202,10,11380625,38764.4398
20201202,10,11380631,21585.805
20201202,10,11380632,13643.6469
20201202,10,11380640,11680.7105
20201202,10,11380650,12147.4584
20201202,10,11380690,59446.6377
20201202,11,11380510,32293.7548
20201202,11,11380520,30862.9209
20201202,11,11380530,19099.384
20201202,11,11380551,22141.9788
20201202,11,11380552,20033.5008
20201202,11,11380560,24053.9859
20201202,11,11380570,28512.1059
20201202,11,11380580,23424.0974
20201202,11,11380590,15201.9888
20201202,11,11380600,21258.8695
20201202,11,11380625,38196.6579
20201202,11,11380631,21064.7808
20201202,11,11380632,13058.1472
20201202,11,11380640,11444.5686
20201202,11,11380650,11740.3981
20201202,11,11380690,58774.6266
20201202,12,11380510,31728.445
20201202,12,11380520,30638.7389
20201202,12,11380530,18541.6583
20201202,12,11380551,21812.5046
20201202,12,11380552,19908.3808
20201202,12,11380560,23800.5182
20201202,12,11380570,28452.3939
20201202,12,11380580,23538.5592
20201202,12,11380590,14826.173
20201202,12,11380600,20990.813
20201202,12,11380625,37712.0815
20201202,12,11380631,21118.6365
20201202,12,11380632,12762.0158
20201202,12,11380640,11271.2468
20201202,12,11380650,11715.2037
20201202,12,11380690,58054.1337
20201202,13,11380510,31423.4354
20201202,13,11380520,30547.9139
20201202,13,11380530,17974.2174
20201202,13,11380551,21665.1879
20201202,13,11380552,20043.6757
20201202,13,11380560,23684.4753
20201202,13,11380570,28281.8089
20201202,13,11380580,23372.6289
20201202,13,11380590,14790.232
20201202,13,11380600,20675.5153
20201202,13,11380625,36990.1458
20201202,13,11380631,20662.3589
